county,清心福全,50嵐,茶的魔手,麻古,可不可,得正,COMEBUY,總飲料店數
南投縣,23,11.0,7.0,2.0,4,4,0.0,51.0
台中市,146,117.0,15.0,42.0,41,32,2.0,395.0
台北市,69,70.0,2.0,22.0,31,30,51.0,275.0
台南市,49,28.0,207.0,54.0,20,14,1.0,373.0
台東縣,4,1.0,1.0,3.0,1,1,0.0,11.0
嘉義市,7,13.0,0.0,4.0,2,1,0.0,27.0
嘉義縣,7,10.0,27.0,4.0,2,4,0.0,54.0
基隆市,18,2.0,0.0,0.0,2,2,6.0,30.0
宜蘭縣,30,0.0,1.0,3.0,2,3,11.0,50.0
屏東縣,28,26.0,43.0,26.0,8,4,1.0,136.0
彰化縣,58,33.0,9.0,16.0,15,12,2.0,145.0
新北市,148,66.0,1.0,19.0,38,27,71.0,370.0
新竹市,25,18.0,0.0,5.0,9,3,2.0,62.0
新竹縣,28,12.0,2.0,5.0,11,5,0.0,63.0
桃園市,110,34.0,2.0,16.0,37,17,28.0,244.0
花蓮縣,13,0.0,1.0,2.0,3,1,2.0,22.0
苗栗縣,28,8.0,0.0,4.0,6,4,0.0,50.0
雲林縣,20,17.0,12.0,5.0,6,3,0.0,63.0
高雄市,83,142.0,139.0,117.0,32,21,0.0,534.0
